id_pregunta,pregunta,id_tema,calidad_prompt
1,¿Cuáles son las formas principales de formar preguntas en presente simple?,1,4
2,"¿Cuándo se utiliza el auxiliar ""do"" y cuándo se utiliza el auxiliar ""does"" en preguntas en presente simple?",1,3
3,"¿Cómo se forman las preguntas en presente simple con verbos en ""er"", ""ir"" y ""ar""?",1,5
4,¿Qué tipo de preguntas se pueden hacer en presente simple?,1,2
5,Da algunos ejemplos de preguntas en presente simple sobre tus actividades diarias.,1,2
6,¿Cómo se conjugan los verbos regulares en pasado simple?,2,3
7,¿Cómo se forman las oraciones negativas en pasado simple?,2,2
8,¿Cómo se forman las preguntas en pasado simple?,2,2
9,¿Cuándo se utiliza el pasado simple?,2,3
10,¿Cuáles son algunas de las excepciones a la formación del pasado simple?,2,3
11,¿Qué es un adjetivo descriptivo?,3,2
12,¿Cómo se usa un adjetivo demostrativo?,3,2
13,"¿Cuál es el adjetivo posesivo para ""we""?",3,3
14,¿Qué adjetivo interrogativo se usa para preguntar por opciones específicas?,3,2
15,¿Cuál es un ejemplo de un adjetivo indefinido?,3,2
16,"¿Cuál es el pronombre objeto para ""he""?",4,4
17,"¿Cuál es el pronombre posesivo para ""you""?",4,3
18,¿Cuándo se usa un pronombre reflexivo?,4,2
19,¿Cuál es el pronombre relativo que se usa para personas?,4,3
20,¿Cuáles son los diferentes tipos de pronombres en español?,4,3
21,¿Cómo se forma el Past Continuous?,5,2
22,¿Cómo se forma una pregunta en Past Continuous?,5,2
23,¿Puedes dar un ejemplo de una pregunta en Past Continuous?,5,2
24,¿Qué diferencia hay entre el Past Continuous y el Past Simple?,5,2
25,¿Cómo se usa el Past Continuous para describir una acción interrumpida?,5,3
