id_respuestas,respuesta,ia,calidad_respuesta,id_pregunta
1,"Utilizando el verbo auxiliar ""do"" o ""does"" seguido del sujeto y el verbo en su forma base (infinitivo sin ""to"").",ChatGPT,4,1
2,"Usando el auxiliar ""do/does"": Esta forma se utiliza para preguntas que no comienzan con una palabra interrogativa.",copilot ,4,1
3,"puedes usar el verbo ""to do"" o invertir el sujeto y el verbo.Auxiliares: Do (yo, tú, nosotros, ellos) / Does (él, ella, eso) + verbo principal + complemento.
Palabras interrogativas: Palabra interrogativa + do/does + verbo principal + complemento.
""To be"": Sujeto + verbo ""to be"" + complemento.",Gemini ,3,1
4,"""do"" se usa con pronombres personales y sustantivos en plural, mientras que ""does"" se usa con pronombres personales y sustantivos en singular.",ChatGPT,4,2
5,"do"" se emplea con ""I"", ""you"", ""we"", y ""they"", o con sustantivos en plural. ""does"" se utiliza con ""he"", ""she"", ""it"", o con sustantivos en singular.",Copilot ,4,2
6,"Auxiliares ""do"" y ""does"" en presente simple:Do: Se usa con sujetos en primera, segunda o plural (I, you, we, they).Does: Se usa con sujetos en tercera persona del singular (he, she, it).",Gemini ,3,2
7,Un adjetivo descriptivo es una palabra que se utiliza para describir o calificar características de un sustantivo,ChatGPT,3,3
8,Los adjetivos demostrativos son palabras que indican la proximidad o lejanía de un objeto con respecto al hablante.,Copilot,4,3
9,"¿Qué/Dónde/Cuándo/Quién/Por qué/Cuál/Cómo + verbo + compl.?Sujeto + am/are/is + adj./sust. (verbos de estado)Sin ""do/does"".Conjuga según sujeto.""To be"": am (yo), are (tú/nos/ellos), is (él/ella/eso).",Gemini ,4,3
10,"En presente simple, puedes hacer preguntas afirmativas, negativas, con palabras interrogativas o de opción.",ChatGPT,5,4
11,"En presente simple, puedes hacer preguntas para confirmar información (preguntas afirmativas), verificar negaciones (preguntas negativas), obtener detalles específicos (preguntas con palabras interrogativas), o dar opciones (preguntas de opción).",Copilot,5,4
12,Preguntas de sí o no:¿Te gusta el café? (Do you like coffee?)¿Habla español? (Does she speak Spanish?)2. Preguntas con palabras interrogativas:¿Qué comes? (What do you eat?)¿Dónde vives? (Where do you live?)¿Cómo se llama? (What is his name?),Gemini ,5,4
13,¿Te despiertas temprano? ¿Desayunas antes de salir? ¿Trabajas los fines de semana? ¿Vas al gimnasio? ¿Cenas con tu familia? ¿Estudias algún idioma? ¿Sales a caminar? ¿Llegas puntual? ¿Ves televisión? ¿Llamas a tus amigos?,ChatGPT,5,5
14,¿Van ellos al cine normalmente?,copilot,4,5
15,A qué hora te despiertas normalmente?2. ¿Qué haces después de desayunar?,Gemini,5,5
16,"Los verbos regulares en pasado simple se conjugan añadiendo la terminación ""-ed"" a la forma base del verbo.",Gemini,5,6
17,Los verbos regulares en inglés se conjugan en pasado simple añadiendo -ed al final del verbo en su forma base.,Copilot,5,6
18,"En inglés, el pasado simple de los verbos regulares se forma añadiendo ""-ed"" al infinitivo del verbo.",ChatGPT,5,6
19,"Las oraciones negativas en pasado simple se forman utilizando el auxiliar ""did"" seguido del verbo principal en su forma base y la partícula negativa ""not"" (no).",Gemini,4,7
20,"Se forman con el auxiliar ‘did not’ seguido del verbo en su forma base. Por ejemplo, “I did not work” (No trabajé).",Copilot,4,7
21,"Para formar oraciones negativas en pasado simple, se utiliza el verbo auxiliar ""did"" seguido de ""not"" y el verbo en su forma base (infinitivo) sin ""-ed"".",ChatGPT,5,7
22,"Las preguntas en pasado simple se forman utilizando el auxiliar ""did"" al principio de la oración, seguido del sujeto y el verbo principal en su forma base.",Gemini,4,8
23,"Se forman con ‘did’ antes del sujeto y el verbo en su forma base. Por ejemplo, “Did you work?” (¿Trabajaste?).",Copilot,4,8
24,"Para formar preguntas en pasado simple, se utiliza el verbo auxiliar ""did"" seguido del sujeto y el verbo en su forma base (infinitivo) sin ""-ed"".",ChatGPT,5,8
25,El pasado simple se utiliza para hablar de acciones o eventos que ya han terminado en un momento específico del pasado.,Gemini,4,9
26,"Se utiliza para hablar de acciones completadas en un tiempo pasado específico. Por ejemplo, “I worked yesterday” (Trabajé ayer).",Copilot,5,9
27,"El pasado simple se utiliza para hablar de acciones que ocurrieron y se completaron en un tiempo específico en el pasado. Se usa comúnmente para narrar eventos pasados, contar historias o relatar experiencias anteriores.",ChatGPT,4,9
28,"Hay algunos verbos irregulares en inglés que no se conjugan en pasado simple añadiendo la terminación ""-ed"". Estos verbos tienen que aprenderse de memoria.",Gemini,2,10
29,"Los verbos irregulares no siguen la regla de añadir ‘-ed’ para formar el pasado. Cada uno tiene su propia forma. Por ejemplo, “go” se convierte en “went” y “see” en “saw”.",Copilot,3,10
30,"Las excepciones al pasado simple incluyen verbos irregulares, verbos que terminan en ""-e"", y aquellos que terminan en consonante + ""y"" donde se cambia la ""y"" por ""i"" antes de añadir ""-ed"".",ChatGPT,5,10
31,"el adjetivo interrogativo que se utiliza para preguntar por opciones específicas es ""which"".",chat gpt,4,11
32,"Un ejemplo de un adjetivo indefinido en español es ""alguno"". Por ejemplo, ""Tengo algunos libros en casa"" o ""Necesito comprar algunas frutas"".",gemini,3,11
33,"Los adjetivos descriptivos son palabras que acompañan al sustantivo proporcionando alguna cualidad, estado o característica1. ",copilot,2,11
34,"Los adjetivos demostrativos en inglés son ""this"", ""that"", ""these"" y ""those"". Se utilizan para indicar la proximidad o la distancia entre el hablante y el objeto o persona que se está describiendo.",chat gpt,4,12
35,"Para ""we"", el adjetivo posesivo en inglés es ""our"". Por ejemplo, ""our house"" significa ""nuestra casa"" y ""our car"" significa ""nuestro coche"".",copilot,4,12
